480	CO75	HAM-EWR	752	0.00
1335	AF6828	CDG-MEX	77X	0.00
685	DE4156	FRA-CUN	763	0.00
750	AF18	CDG-EWR	332	0.88
630	AA111	FCO-ORD	763	0.80
570	AF12	CDG-JFK	772	0.80
580	AF682	CDG-ATL	772	0.92
775	TS311	CDG-YUL	330	0.84
605	SK907	OSL-EWR	333	0.00
510	CO153	STR-EWR	752	0.00
735	NY253	RKV-JAV	DH8	0.00
590	AA89	BRU-ORD	763	0.00
765	TS253	LGW-YYZ	330	0.00
615	AA87	LHR-ORD	777	0.56
725	TP103	LIS-EWR	332	0.00
850	EI137	DUB-BOS	330	0.84
810	EI135	SNN-BOS	330	0.68
980	UA925	LHR-IAD	777	0.00
985	UA927	FRA-SFO	777	0.00
465	UA923	LHR-IAD	763	0.60
740	TS485	VIE-YUL	310	0.00
475	UA929	LHR-ORD	744	0.00
600	DL71	AMS-JFK	332	0.00
760	AF80	CDG-SFO	343	0.52
615	DL73	IST-JFK	332	0.00
750	DL21	CDG-ATL	767	0.88
605	DL75	MXP-ATL	767	0.00
570	AF84	CDG-SFO	388	0.88
640	DL79	TXL-JFK	767	0.00
770	IB6251	MAD-JFK	346	0.00
950	IB6253	MAD-JFK	340	0.00
1095	IB6257	MAD-JFK	346	0.00
735	LX38	ZRH-SFO	343	0.00
820	AZ610	FCO-JFK	772	0.00
755	AF378	CDG-DTW	343	0.84
675	US707	MUC-PHL	332	0.00
640	US705	FRA-CLT	333	0.00
710	US703	FRA-PHL	333	0.00
610	US701	FRA-PHL	333	0.00
540	DL179	AMS-PDX	332	0.00
630	DL271	LHR-BOS	764	0.00
600	DL171	CDG-SLC	767	0.52
480	DL175	AMS-ATL	767	0.00
715	IB6403	MAD-MEX	340	0.00
790	AC845	FRA-YYC	333	0.68
660	AC847	MUC-YYZ	77W	0.00
900	AC849	LHR-YYZ	333	0.84
550	9W228	BRU-EWR	332	0.00
775	DL185	CDG-JFK	767	0.80
730	LX40	ZRH-LAX	343	0.00
500	AZ630	FCO-MIA	764	0.00
650	AZ636	MXP-MIA	330	0.00
1085	BA95	LHR-YUL	777	0.88
1020	BA69	LHR-PHL	767	0.64
765	BA67	LHR-PHL	777	0.00
675	AA41	CDG-ORD	763	0.00
770	AA47	LHR-ORD	777	0.68
600	AA45	CDG-JFK	763	0.52
630	AA49	CDG-DFW	763	0.60
905	BA273	LHR-SAN	777	0.84
985	BA275	LHR-LAS	744	0.00
595	BA279	LHR-LAX	744	0.00
490	HY101	RIX-JFK	763	0.00
700	KL611	AMS-ORD	74M	0.00
575	LH438	FRA-DFW	343	0.00
880	LH434	MUC-ORD	346	0.72
655	LH436	DUS-ORD	333	0.00
585	LH430	FRA-ORD	744	0.00
995	LH432	FRA-ORD	744	0.00
665	TS357	CDG-YUL	330	0.00
725	DL87	VCE-JFK	764	0.00
570	DL81	BRU-ATL	767	0.00
715	AA235	FCO-JFK	763	0.00
745	AA147	CDG-BOS	757	0.64
1140	AA141	LHR-JFK	777	0.00
460	K4246	BRU-EWR	74F	0.00
585	UA965	DME-IAD	763	0.00
610	UA967	FCO-IAD	777	0.00
480	GL781	CPH-SFJ	332	0.00
675	MT414	MAN-SFB	332	0.44
500	GL785	CPH-UAK	738	0.00
755	AF332	CDG-BOS	343	0.68
780	BA177	LHR-JFK	744	0.80
705	TS323	LGW-YYZ	330	0.00
730	CO109	EDI-EWR	752	0.00
500	CO107	MUC-EWR	764	0.00
600	CO105	ATH-EWR	764	0.64
735	CO103	AMS-EWR	752	0.00
690	CO101	MAN-EWR	752	0.00
975	VS1	LHR-EWR	744	0.92
695	VV131	KBP-JFK	763	0.00
720	BA283	LHR-LAX	744	0.92
605	DL239	AMS-ATL	333	0.00
720	UA919	LHR-IAD	777	0.92
840	BA287	LHR-SFO	744	0.92
690	BA285	LHR-SFO	744	0.68
685	UA915	CDG-IAD	777	0.00
565	DL233	AMS-SEA	333	0.00
680	UA917	FRA-IAD	777	0.00
610	DL231	AMS-BOS	333	0.00
700	DL237	FCO-DTW	333	0.00
740	DL235	AMS-DTW	333	0.40
960	BA113	LHR-JFK	744	0.60
510	BA117	LHR-JFK	744	0.64
905	BA115	LHR-JFK	744	0.80
865	DL41	LHR-MSP	764	0.00
