1095	IB6257	MAD-JFK	346
20	IB6401	MAD-MEX	340
715	IB6403	MAD-MEX	340
660	IB6123	MAD-MIA	346
655	IB6275	MAD-ORD	346
720	IB6545	MAD-SJU	340
720	IG3932	PMO-JFK	330
460	K4246	BRU-EWR	74F
955	KL621	AMS-ATL	777
690	KL651	AMS-IAD	330
585	KL661	AMS-IAH	74M
815	PTI663	AMS-IAH	737
745	KL641	AMS-JFK	747
1005	KL643	AMS-JFK	777
530	KL601	AMS-LAX	747
810	KL685	AMS-MEX	74M
700	KL611	AMS-ORD	74M
530	KL605	AMS-SFO	777
860	KL671	AMS-YUL	M11
740	KL681	AMS-YVR	M11
690	KL677	AMS-YYC	M11
500	KL691	AMS-YYZ	777
990	KL695	AMS-YYZ	74M
670	LH408	DUS-EWR	333
655	LH436	DUS-ORD	333
680	LH472	DUS-YYZ	333
655	LH444	FRA-ATL	343
730	LH422	FRA-BOS	744
775	LH446	FRA-DEN	744
575	LH438	FRA-DFW	343
770	LH442	FRA-DTW	333
740	LH402	FRA-EWR	744
990	LH484	FRA-EWR	343
535	LH416	FRA-IAD	333
725	LH418	FRA-IAD	744
555	LH440	FRA-IAH	744
335	LH8160	FRA-JFK	M1F
395	LH8166	FRA-JFK	M1F
565	LH400	FRA-JFK	388
965	LH404	FRA-JFK	744
535	LH456	FRA-LAX	744
790	LH450	FRA-LAX	744
790	LH464	FRA-MCO	346
785	LH498	FRA-MEX	744
535	LH462	FRA-MIA	388
75	LH8188	FRA-ORD	M1F
585	LH430	FRA-ORD	744
885	LH8240	FRA-ORD	M1F
995	LH432	FRA-ORD	744
715	LH426	FRA-PHL	343
515	LH490	FRA-SEA	333
525	LH454	FRA-SFO	388
740	LH492	FRA-YVR	346
530	LH494	FRA-YYC	343
775	LH470	FRA-YYZ	343
895	LH424	MUC-BOS	346
635	LH428	MUC-CLT	346
870	LH412	MUC-EWR	346
630	LH414	MUC-IAD	333
635	LH410	MUC-JFK	343
885	LH452	MUC-LAX	346
880	LH434	MUC-ORD	346
915	LH458	MUC-SFO	346
880	LH474	MUC-YUL	333
690	LO6	WAW-JFK	763
670	LO1	WAW-ORD	763
950	LO45	WAW-YYZ	763
670	LX22	GVA-JFK	333
990	LX52	ZRH-BOS	343
960	PTI18	ZRH-EWR	73H
535	LX16	ZRH-JFK	333
720	LX14	ZRH-JFK	333
730	LX40	ZRH-LAX	343
725	LX64	ZRH-MIA	343
725	LX8	ZRH-ORD	333
735	LX38	ZRH-SFO	343
710	LX86	ZRH-YUL	333
710	MP639	AMS-CUN	767
840	MP55	AMS-MIA	M1F
665	MT376	GLA-SFB	333
830	MT722	LGW-YHZ	332
560	MT864	LGW-YVR	332
610	MT162	LGW-YYC	332
870	MT214	LGW-YYZ	332
675	MT414	MAN-SFB	332
735	NY253	RKV-JAV	DH8
610	NY231	RKV-KUS	F50
780	NY245	RKV-KUS	F50
825	NY263	RKV-UAK	F50
975	NZ1	LHR-LAX	773
1380	OK9260	LHR-LBE	RFS
565	OS93	VIE-IAD	763
580	OS87	VIE-JFK	772
570	OS71	VIE-YYZ	767
740	PK723	MAN-JFK	777
570	RU401	AMS-ORD	74Y
990	S4311	LIS-YYZ	313
1125	S4271	PDL-BOS	313
610	S4327	PDL-YUL	313
660	SE16	CDG-CUN	332
890	5K42	CDG-LAS	332
565	SK903	ARN-EWR	333
555	SK945	ARN-ORD	333
685	SK909	CPH-EWR	333
680	SK925	CPH-IAD	343
885	SK943	CPH-ORD	343
605	SK907	OSL-EWR	333
460	SQ62	DME-IAH	77W
450	SQ26	FRA-JFK	744
900	SS900	ORY-YUL	330
725	SU317	SVO-IAD	763
425	SU313	SVO-JFK	763
700	SU315	SVO-JFK	333
930	SV903	BRU-JFK	74Y
530	TK7	IST-IAD	77W
540	TK1	IST-JFK	77W
915	TK11	IST-JFK	343
550	TK9	IST-LAX	77W
560	TK5	IST-ORD	343
570	TK17	IST-YYZ	77W
630	TN7	CDG-LAX	343
725	TP103	LIS-EWR	332
