alpha_eff	formation_count	distance_success_rate	distance_total	formation_success_rate	hub_lon	distance_solo	distance_formation	hub_lat
-0.0504389248335027	102.0	0.3144380256142144	2091306.3556144533	0.9438202247191011	-40.0	1433720.1142005865	657586.2414138669	42.647058823529413
-0.0496946788398844	98.0	0.343109753837751	2097022.8778196585	0.9344569288389513	-37.5	1377513.8744188233	719509.0034008352	42.647058823529413
-0.05187443257718475	107.0	0.3514182837753823	2103269.805619154	0.9419475655430711	-35.0	1364142.3402118892	739127.4654072651	42.647058823529413
-0.05259850886965114	102.0	0.36512589176122484	2108072.2193899197	0.9157303370786517	-32.5	1338360.4703881107	769711.7490018088	42.647058823529413
-0.04980508865059911	121.0	0.404238135936457	2112462.8286618623	0.9382022471910112	-30.0	1258524.7925685358	853938.0360933264	42.647058823529413
-0.052596719308559324	111.0	0.4024938371204744	2117377.9342495347	0.9138576779026217	-27.5	1265146.3648592161	852231.5693903187	42.647058823529413
-0.05346287940644026	112.0	0.42488295167706674	2124615.372128004	0.9101123595505618	-25.0	1221902.521639788	902712.850488216	42.647058823529413
-0.0539639189525947	112.0	0.43471913971849346	2128025.924498271	0.897003745318352	-22.5	1202932.325301731	925093.5991965402	42.647058823529413
-0.05479424171582536	117.0	0.45313692923686966	2134205.3457864486	0.8932584269662921	-20.0	1167118.0890358659	967087.2567505828	42.647058823529413
-0.056705581408068875	126.0	0.46522837374683507	2140880.3112812503	0.8745318352059925	-17.5	1144882.045677256	995998.2656039941	42.647058823529413
-0.059094238924688895	130.0	0.47808850833437677	2148661.4656190802	0.8782771535580525	-15.0	1121411.1106056983	1027250.3550133818	42.647058823529413
-0.06443571557751471	131.0	0.4806613693129726	2159538.37823977	0.8576779026217228	-12.5	1121531.7042711258	1038006.673968644	42.647058823529413
-0.06670943836671979	136.0	0.5019498010154344	2169198.9480666956	0.848314606741573	-10.0	1080369.967721728	1088828.9803449675	42.647058823529413
