sim_start	formation_aircraft_count	formation_success_rate	formation_count	distance_penalty	hub_delay_sum	fuel_delay	config_phi_max	distance_success_rate	sim_finish	Q_avg	config_etah_slack	fuel_saved	fuel_direct	config_Z	fuel_saved_disregard_delay	distance_total	config_count_hubs	distance_solo	fuel_actual	alpha_effective	Q_sum	avg_formation_size	config_alpha	hub_delay_avg	distance_direct	config_lock_time	aircraft_count	distance_formation
0	513	0.9642857142857143	67	0.023567311372842292	17644.615169829576	2331703.219479701	15	0.5362838970229238	1984	0.7545157928003134	46.666666666666671	-0.03397995558865796	30155441.90963542	0.2	0.04334284493494056	1957128.3388440274	10	907551.9263147512	28848419.267001484	0.0461495952401378	387.0666017065608	7.656716417910448	0.13	34.39496134469703	1912066.0821212258	7.5555555555555554	532	1049576.4125292762
0	514	0.9661654135338346	70	0.02405838287292017	19231.76992058606	2525123.907393992	15	0.5375657187395755	1981	0.752878708666695	53.333333333333336	-0.04062222239024349	30155441.90963543	0.2	0.043114700283973906	1958067.3000032217	10	905477.44453653	28855299.069770712	0.04582516056322465	386.97965625468123	7.3428571428571425	0.13	37.41589478713241	1912066.082121225	7.5555555555555554	532	1052589.8554666918
0	511	0.9605263157894737	63	0.025403588862942028	21390.82712474697	2850547.4831443634	15	0.5323238679936945	1999	0.7511416684163322	60.0	-0.05314313375098223	30155441.909635406	0.2	0.04138532620945845	1960639.422750209	10	916944.2614908936	28907449.10921477	0.043798513976238254	383.8333925607458	8.11111111111111	0.13	41.86071844373184	1912066.082121225	7.5555555555555554	532	1043695.1612593156
0	92	0.17293233082706766	44	0.007790946151728928	17.001350933312914	1348.2810479288153	15	0.09701065717615605	1985	0.8151044607372495	0.0	0.00434852641002581	30155441.909635417	0.2	0.004393237445996401	1926962.8860055793	10	1740026.9500801158	30022961.89303744	0.004820439281171358	74.98961038782696	2.090909090909091	0.13	0.18479729275340123	1912066.0821212253	14.111111111111111	532	186935.9359254635
0	440	0.8270676691729323	125	0.017619989964721583	2033.9647379206488	221332.3446628197	15	0.45083973806334077	1985	0.7397144304004769	6.666666666666667	0.030517458114222795	30155441.909635417	0.2	0.037857172959923524	1945756.6673000858	10	1068532.2410795162	29013842.12957942	0.04098917598351272	325.47434937620983	3.52	0.13	4.622647131637838	1912066.082121225	14.111111111111111	532	877224.4262205695
0	483	0.9078947368421053	106	0.018885811475595427	4899.768307952062	581317.4391695341	15	0.48866871201330103	1984	0.732033598571186	13.333333333333334	0.022109553244873736	30155441.909635417	0.2	0.04138691753989965	1948177.0016770475	10	996163.8554935901	28907401.121942103	0.0446411210861337	353.5722281098828	4.556603773584905	0.13	10.144447842550854	1912066.0821212255	14.111111111111111	532	952013.1461834573
0	496	0.9323308270676691	88	0.02170852880411811	8165.501399403012	1020951.078196325	15	0.512198143793797	1983	0.7442685922550821	20.0	0.008094517869608908	30155441.909635417	0.2	0.04195079765007881	1953574.2237403314	10	952957.1325771258	28890397.068035595	0.0448772298890755	369.15722175852073	5.636363636363637	0.13	16.462704434280266	1912066.0821212255	14.111111111111111	532	1000617.0911632057
0	506	0.9511278195488722	82	0.023650667053197738	10947.513206740854	1394358.3619526376	15	0.5291217175856694	1991	0.7537358281621431	26.666666666666668	-0.0038086313094793933	30155441.909635406	0.2	0.042430397988483026	1957287.720413187	10	921644.2799788221	28875934.507890996	0.04513515623293929	381.39032905004444	6.170731707317073	0.13	21.635401594349513	1912066.0821212258	14.111111111111111	532	1035643.440434365
0	510	0.9586466165413534	76	0.02478478426099917	13973.718060930609	1807486.731457785	15	0.5265568115134291	1994	0.7486704889181215	33.333333333333336	-0.018698033345001974	30155441.90963543	0.2	0.04124095666794969	1959456.2274593743	10	927691.2040282334	28911802.63653728	0.04366760123574662	381.82194934824196	6.7105263157894735	0.13	27.39944717829531	1912066.0821212258	14.111111111111111	532	1031765.0234311408
0	509	0.956766917293233	72	0.024334419674185703	15901.232253637034	2075095.1890286568	15	0.5345877536030621	1991	0.7570515616382979	40.0	-0.02629411468482279	30155441.90963543	0.2	0.042519175972529855	1958595.1006083395	10	911554.1455561641	28873257.368550237	0.04516198829421238	385.3392448738936	7.069444444444445	0.13	31.240141952135627	1912066.0821212255	14.111111111111111	532	1047040.9550521756
