"ALC",1
"LEI",1
"OVD",1
"ODB",1
"BIO",1
"BCN",1
"BJZ",1
"LCG",1
,1
"GRO",1
"GRX",1
,1
"IBZ",1
"XRY",1
"MJV",1
"PKH",2
"MAD",1
"AGP",1
"MAH",1
"OZP",1
,1
"PNA",1
,1
"REU",1
,1
"SLM",1
,1
,1
,1
"EAS",1
"SCQ",1
"LEU",1
"TOJ",1
"VLC",1
"VLL",1
,1
"VIT",1
"VGO",1
"SDR",1
"ZAZ",1
"SVQ",1
"CQF",1
,1
,1
,1
,1
"LTQ",1
,1
,1
"AGF",1
,1
"BOD",1
"EGC",1
,1
"CNG",1
"PIS",1
,1
"LIG",1
,1
"NIT",1
"TLS",1
"PUF",1
,1
"LDE",1
"ANG",1
"BVE",1
"PGX",1
"BIQ",1
,1
,1
"XAC",1
"LBI",1
"DCM",1
,1
,1
,1
"RDZ",1
,1
,1
"RYN",1
,1
,1
,1
,1
,1
,1
,1
"RCO",1
,1
,1
,1
,1
,1
"CMR",1
,1
"DLE",1
,1
,1
"OBS",1
"LPY",1
,1
"XBK",1
"XVF",1
"XMU",1
,1
,1
"ETZ",1
"BIA",1
"CLY",1
"FSC",1
"AJA",1
,1
"SOZ",1
,1
"AUF",1
"CMF",1
"CFE",1
"BOU",1
,1
"XCD",1
"QNJ",1
"LYS",1
"QNX",1
,1
"RNE",1
"NCY",1
"GNB",1
"MCU",1
"VAF",1
"VHY",1
"AUR",1
"CHR",1
"LYN",1
"QXB",1
,1
"CEQ",1
"EBU",1
,1
"CCF",1
"MRS",1
"NCE",1
,1
"PGF",1
"CTT",1
,1
"MPL",1
"BZR",1
"AVN",1
,1
,1
"MEN",1
,1
,1
"BVA",1
,1
,1
,1
"LEH",1
,1
"ORE",1
,1
"URO",1
"TUF",1
"CET",1
"LVA",1
,1
"LBG",1
"CSF",1
"CDG",1
,1
,1
"TNF",1
"ORY",1
"POX",1
,1
,1
"QYR",1
,1
,1
,1
"NVS",1
,1
,1
,1
,1
"LIL",1
,1
,1
,1
"BES",1
"CER",1
"DNR",1
,1
,1
"DOL",1
"LRT",1
"EDM",1
,1
"CFR",1
,1
"LME",1
"RNS",1
"LAI",1
"UIP",1
"NTE",1
"SBK",1
"MXN",1
"VNE",1
"SNR",1
"MLH",1
,1
"DIJ",1
"MZM",1
"EPL",1
,1
,1
,1
"ENC",1
,1
,1
"RHE",1
"SXB",1
,1
,1
"TLN",1
"FNI",1
,-4
"FSP",-4
,1
,1
"PYR",2
"AGQ",2
"AXD",2
,2
"VOL",2
,2
"JKH",2
"IOA",2
"HER",2
"KSO",2
"KIT",2
"EFL",2
"KLX",2
,2
"KGS",2
"AOK",2
"CFU",2
"KSJ",2
"KVA",2
"KZI",2
"LRS",2
"LXS",2
"LRA",2
,2
"JMK",2
"MJT",2
"PVK",2
,2
"RHO",2
"GPA",2
"CHQ",2
"JSI",2
"SMI",2
"LYM",0
,2
"JTR",2
"JSH",2
,2
"SKU",2
,2
,2
,2
"SKG",2
,2
"ZTH",2
"BUD",1
"DEB",1
,1
,1
,1
"SUE",-6
,1
,1
,1
"CRV",1
"BRI",1
"FOG",1
"TAR",1
"LCC",1
"PSR",1
"BDS",1
,1
"SUF",1
"CTA",1
"LMP",1
"PNL",1
"PMO",1
,1
"REG",1
"TPS",1
"NSY",1
"AHO",1
"DCI",1
"CAG",1
"OLB",1
"TTB",1
,1
,1
"MXP",1
"BGY",1
"TRN",1
"ALL",1
"GOA",1
"LIN",1
,1
"PMF",1
"QPZ",1
"0P2",-5
"CUF",1
"AVB",1
"BZO",1
,1
"BLQ",1
"TSF",1
,1
"FRL",1
,1
,1
"VBS",1
"TRS",1
"RMI",1
,1
"VIC",1
"QPA",1
"VRN",1
"VCE",1
"SAY",1
"CIA",1
,1
"FCO",1
,1
"EBA",1
"QLT",1
,1
"NAP",1
"PSA",1
"FLR",1
"GRS",1
,1
