535	ZRH-JFK	333
720	ZRH-JFK	333
730	ZRH-LAX	343
725	ZRH-MIA	343
725	ZRH-ORD	333
735	ZRH-SFO	343
710	ZRH-YUL	333
710	AMS-CUN	767
840	AMS-MIA	M1F
665	GLA-SFB	333
830	LGW-YHZ	332
560	LGW-YVR	332
610	LGW-YYC	332
870	LGW-YYZ	332
675	MAN-SFB	332
735	RKV-JAV	DH8
610	RKV-KUS	F50
780	RKV-KUS	F50
825	RKV-UAK	F50
975	LHR-LAX	773
1380	LHR-LBE	RFS
565	VIE-IAD	763
580	VIE-JFK	772
570	VIE-YYZ	767
740	MAN-JFK	777
570	AMS-ORD	74Y
990	LIS-YYZ	313
1125	PDL-BOS	313
610	PDL-YUL	313
660	CDG-CUN	332
890	CDG-LAS	332
565	ARN-EWR	333
555	ARN-ORD	333
685	CPH-EWR	333
680	CPH-IAD	343
885	CPH-ORD	343
605	OSL-EWR	333
460	DME-IAH	77W
450	FRA-JFK	744
900	ORY-YUL	330
725	SVO-IAD	763
425	SVO-JFK	763
700	SVO-JFK	333
930	BRU-JFK	74Y
530	IST-IAD	77W
540	IST-JFK	77W
915	IST-JFK	343
550	IST-LAX	77W
560	IST-ORD	343
570	IST-YYZ	77W
630	CDG-LAX	343
725	LIS-EWR	332
745	OPO-EWR	332
515	AMS-YVR	330
520	AMS-YYZ	330
665	CDG-YUL	330
775	CDG-YUL	330
710	DUB-YUL	310
840	FRA-YYZ	310
555	HAM-YYZ	310
830	LGW-YHZ	330
560	LGW-YVR	330
610	LGW-YYC	330
675	LGW-YYZ	330
705	LGW-YYZ	330
765	LGW-YYZ	330
630	LYS-YUL	310
795	MAN-YYZ	310
765	MRS-YQB	310
620	MRS-YUL	310
795	MUC-YYC	330
690	NTE-YUL	310
660	OPO-YUL	310
705	PSR-YYZ	310
730	SUF-YYZ	330
740	VIE-YUL	310
675	AMS-IAD	763
615	AMS-ORD	777
660	BRU-IAD	777
600	BRU-ORD	763
685	CDG-IAD	777
615	CDG-ORD	763
585	DME-IAD	763
610	FCO-IAD	777
600	FRA-IAD	763
680	FRA-IAD	777
960	FRA-IAD	777
440	FRA-ORD	777
705	FRA-ORD	744
780	FRA-SFO	744
985	FRA-SFO	777
660	GVA-IAD	763
465	LHR-IAD	763
720	LHR-IAD	777
785	LHR-IAD	763
980	LHR-IAD	777
625	LHR-LAX	777
475	LHR-ORD	744
740	LHR-ORD	763
920	LHR-ORD	763
635	LHR-SFO	777
850	LHR-SFO	777
600	MAD-IAD	332
640	MUC-IAD	777
695	MUC-ORD	777
550	ZRH-EWR	763
655	ZRH-IAD	763
590	AMS-PHL	752
585	ATH-PHL	767
585	BCN-PHL	332
585	BRU-PHL	767
610	CDG-CLT	332
635	CDG-PHL	332
555	DUB-CLT	752
675	DUB-PHL	767
605	FCO-CLT	333
650	FCO-PHL	333
640	FRA-CLT	333
610	FRA-PHL	333
710	FRA-PHL	333
760	GLA-PHL	752
580	LGW-CLT	333
740	LHR-PHL	332
640	LIS-PHL	752
510	MAD-CLT	767
695	MAD-PHL	333
675	MAN-PHL	333
675	MUC-PHL	332
635	VCE-PHL	767
565	ZRH-PHL	767
820	MAD-CUN	332
980	MAD-JFK	332
685	LGW-LAS	744
675	LGW-MCO	333
780	LGW-MCO	744
905	LHR-BOS	744
975	LHR-EWR	744
1225	LHR-EWR	346
675	LHR-IAD	346
635	LHR-JFK	346
840	LHR-JFK	744
1035	LHR-JFK	346
690	LHR-LAX	744
935	LHR-LAX	346
710	LHR-MIA	346
660	LHR-ORD	343
780	LHR-SFO	744
735	MAN-LAS	744
660	MAN-MCO	333
695	KBP-JFK	763
780	MAD-CUN	744
655	CDG-YUL	763
730	LIS-YYZ	763
