"Airport Report",,,,,,,,,,,
,,,,,,,,,,,
"Code","Name","City","State","State Name"," Latitude "," Longitude ","Country","Country Name","Global Region","WAC","Notes"
"ADJ","Amman Civil","Amman","  "," ",31.97,35.99,"JO","Jordan","Middle East",639,
"ADK","Adak Island Ns","Adak Island","AK","Alaska",51.88,-176.64,"US","United States","North America",1,
"ADL","Sa-Adelaide Intl","Adelaide","SA","South Australia",-34.95,138.53,"AU","Australia","Australasia",802,
"ADM","Ardmore Municipal Airport","Ardmore","OK","Oklahoma",34.30,-97.02,"US","United States","North America",73,
"ADN","Andes Airport","Andes","  "," ",5.67,-75.93,"CO","Colombia","South America",327,
"ADO","Andamooka ","Andamooka","SA","South Australia",-30.38,137.20,"AU","Australia","Australasia",802,
"ADP","Anuradhapura","Anuradhapura","  "," ",8.30,80.42,"LK","Sri Lanka","Asia",711,
"ADQ","Kodiak Airport","Kodiak","AK","Alaska",57.75,-152.48,"US","United States","North America",1,
"ADR","Andrews Airport","Andrews","SC","South Carolina",33.45,-79.57,"US","United States","North America",37,
"ADS","Addison","Dallas","TX","Texas",32.97,-96.84,"US","United States","North America",74,
"ADT","Ada Airport","Ada","OK","Oklahoma",34.80,-96.67,"US","United States","North America",73,
"ADU","Ardabil ","Ardabil","  "," ",38.25,48.30,"IR","Iran","Middle East",632,
"ADV","Andover ","Andover","EN","England",51.22,-1.47,"GB","United Kingdom","Europe",493,
"ADW","Andrews Air Force Base","Camp Springs","MD","Maryland",38.81,-76.87,"US","United States","North America",35,
"ADX","Leuchars Airport","Saint Andrews","SC","Scotland",56.37,-2.87,"GB","United Kingdom","Europe",493,
"ADY","Alldays Airport","Alldays","  "," ",-22.67,29.05,"ZA","South Africa","Africa",562,
"ADZ","San Andres Island ","San Andres Island","  "," ",12.58,-81.70,"CO","Colombia","South America",327,
"AEA","Abemama ","Abemama","  "," ",0.48,173.85,"KI","Kiribati","Australasia",824,
"AEB","Baise Airport","Baise","  "," ",23.73,106.96,"CN","China","Asia",713,
